id,artworks,cover,created_at,external_games,first_release_date,game_modes,genres,name,platforms,player_perspectives,release_dates,screenshots,similar_games,slug,summary,tags,updated_at,url,websites,checksum,language_supports,game_type,age_ratings,involved_companies,keywords,themes,version_parent,version_title,parent_game,alternative_names,game_engines,storyline,videos,game_localizations,collections,hypes,multiplayer_modes,status,game_status,bundles,franchises,rating,rating_count,total_rating,total_rating_count,dlcs
282528,[129653],359760.0,1705049274,"[2719615, 2891706]",1694736000,[1],"[9, 31, 32]",Reflections: Nightingale,[381],[3],[552874],"[1218335, 1218336]","[25646, 25222, 27266, 114455, 18020, 19817, 18011, 111130, 28070, 56033]",reflections-nightingale,A Short Form Horror Game,"[19, 268435465, 268435487, 268435488, 536871043, 536872227, 536872609, 536873565, 536888180]",1760084697,https://www.igdb.com/games/reflections-nightingale,"[607300, 607301]",27c45b62-933c-b2ce-3229-27bee640080a,[931655],0,,[248082],"[131, 1315, 1697, 2653, 17268]",[19],,,,[149439],,,[104806],,,,,,,,,,,,,
258042,[112354],439642.0,1690297468,"[2724269, 2723940]",1694736000,[1],"[13, 15, 32]",Vox Populi: Spain 2023,[6],,[516405],"[1095504, 1095505, 1095506, 1095507, 1095508, 1095509]","[65827, 36269, 55590, 31515, 33603, 33646, 51577, 17130, 17519, 18623]",vox-populi-spain-2023,"Play as an existing or fully customized political figure, and campaign for the Spanish general election of 2023! In ""Vox Populi: Spain 2023"", you and the characters around you will have to promote your ideas and your popularity throughout the country to claim victory!","[268435469, 268435471, 268435488]",1758630770,https://www.igdb.com/games/vox-populi-spain-2023,"[567672, 582284, 582285]",fbc44687-3259-c366-3bd2-c0bac006ed0f,"[731249, 731250, 731251, 731252, 731253]",0,,[231372],,,,,,,,,[97992],,,,,,,,,,,,,
263219,[115695],331461.0,1692952497,"[2735895, 2734771]",1694736000,[1],"[13, 31, 32]",AploVVare Collection,[6],,[516505],"[1125058, 1125059, 1125062, 1125060, 1125061]","[29348, 87975, 79134, 109339, 25311, 35994, 65827, 111130, 36269, 55590]",aplovvare-collection,"You found an old game console along with some games at a garage sale. You remember playing these as a kid, and couldn't resist getting it. Maybe you could give them a whirl, just for old time's sake?","[268435469, 268435487, 268435488, 536873297]",1695188401,https://www.igdb.com/games/aplovvare-collection,"[576648, 582360]",962e2a2d-9d42-e30c-6916-5c5e5dbc7f6b,[781693],0,,[231406],[2385],,,,,,,,,,,,,,,,,,,,,
267371,[118323],389482.0,1695114858,[2743929],1694736000,[1],"[9, 15]",Anime Sexy Girl Puzzle: Hentai Game History Adventure,[130],,[523575],"[1148358, 1148360, 1148361, 1148363]","[95340, 34024, 60044, 25646, 119156, 56967, 113201, 34269, 36553, 78550]",anime-sexy-girl-puzzle-hentai-game-history-adventure,Welcome to the anime girls puzzle game!,"[1, 40, 268435465, 268435471]",1747167345,https://www.igdb.com/games/anime-sexy-girl-puzzle-hentai-game-history-adventure,[769992],830be523-0d93-f9fd-2b4d-5a516eb56ee2,[801481],0,"[154051, 153293]",,,"[1, 40]",,,,,,,,,,,,,,,,,,,,
264584,[116523],331473.0,1693815599,"[2738705, 2738283]",1694736000,[1],[13],FarmCraft,[6],,[516229],"[1132960, 1132956, 1132964, 1132969, 1132972, 1132975, 1132976, 1132974]","[101573, 105264, 115738, 17613, 112754, 87485, 100794, 36346, 65827, 76340]",farmcraft,Roll up your sleeves and get to work and start building your farm now!,[268435469],1756998331,https://www.igdb.com/games/farmcraft,"[578736, 582068]",b992d3dc-a4df-de82-083b-5cf0b95cbf74,"[787960, 787963, 787967, 787972, 787957, 787961, 787964, 787966, 787973, 787974, 787958, 787965, 787969, 787959, 787962, 787968, 787971, 787970, 787975, 787976, 787977, 787978, 787979, 787980, 787981]",0,,[231291],,,,,,,,,,,,,,,,,,,,,,
267143,[118157],332769.0,1695019129,"[2743169, 2743173]",1694736000,[1],"[9, 13, 15]",Weedcraft Inc & Big Pharm Pharmacy Tycoon Bundle,"[49, 130]",,"[521412, 519208]","[1147291, 1147292, 1147290, 1147293, 1147294, 1147295, 1147296, 1147297]","[17613, 112754, 36346, 65827, 24620, 36269, 55590, 31515, 76340, 17130]",weedcraft-inc-and-big-pharm-pharmacy-tycoon-bundle,Make a better world with medicine in Weedcraft Inc and Big Pharma.,"[268435465, 268435469, 268435471]",1747221524,https://www.igdb.com/games/weedcraft-inc-and-big-pharm-pharmacy-tycoon-bundle,[784832],64609dab-6148-b449-7ecf-2eb17b4ba677,[808237],3,"[153033, 153034, 153032, 153037, 153036, 153035]",,,,,,,,,,,,,,,,,,,,,,,
271834,[120237],,1697175711,,1694736000,[2],"[10, 13, 14]",Sport & Fun: Swimming - Director's Cut,[130],,[526817],,"[116667, 118871, 117855, 120126, 116136, 89444, 107196, 44178, 27378, 116353]",sport-and-fun-swimming-directors-cut,,"[268435466, 268435469, 268435470]",1747194058,https://www.igdb.com/games/sport-and-fun-swimming-directors-cut,[775310],79388ba8-c21f-f033-3b27-1038f6c9ded7,,0,[156085],,,,233865.0,Director's Cut,,,,,,,,,,,,,,,,,,
260157,[113982],331463.0,1691334723,"[2729985, 2729334]",1694736000,[2],[32],Bellus Battle,[6],,[516459],"[1108638, 1108641, 1108644, 1108648, 1108651]","[113895, 105233, 111130, 32902, 119121, 40524, 96217, 106987, 37419, 28309]",bellus-battle,"Enter the world of Bellus, a world where cute animals run wild in a epic battle for glory. Blast your friends with Shotguns, Rail guns, Zeus lightning bolts, Bombs, Portal Guns, and much more. This is Bellus Battle. Be the last one standing!","[1, 268435488]",1760087288,https://www.igdb.com/games/bellus-battle,"[582336, 571159, 582337]",8885a68a-94d6-c7c2-07a2-365e5383416c,[745190],0,,,,[1],,,,,,,,,,,,,,,,,,,,
295703,[134400],,1712274854,,1694736000,,,For a Vast Future: Colour Palette 1,[130],,[580996],,,for-a-vast-future-colour-palette-1,,,1747165339,https://www.igdb.com/games/for-a-vast-future-colour-palette-1,[764082],85db1759-1133-6c22-be58-92a8463a0b85,,13,[172054],,,,,,144170.0,,,,,,,,,,,,,,,,,
264024,[116161],326896.0,1693380296,"[2737328, 2737229]",1694736000,[1],[31],Marcella Moon: Killer at the Cove,[6],,[704912],"[1129701, 1129706, 1129697, 1129708, 1129709, 1129711, 1129712, 1129713, 1129714]","[27725, 26223, 80916, 81275, 27092, 18011, 103266, 116530, 55984, 236]",marcella-moon-killer-at-the-cove,Play as amateur sleuth Marcella Moon to investigate a murder in a coastal California town.,"[43, 268435487, 536912961]",1760532904,https://www.igdb.com/games/marcella-moon-killer-at-the-cove,[577839],25dabd64-66b9-c195-d533-52969a69b74e,"[785423, 785424, 785425]",0,,,[42049],[43],,,,,,,,,[9665],,,,,,,,,,,
